label,family,encoding,n,status,t_encode,t_solve,t_total,wall,vars,clauses,valid,note
mysolver-pairwise,mysolver,pairwise,4,SAT,0.0011,0.0024,0.0557,0.1037,16,56,True,
mysolver-pairwise,mysolver,pairwise,5,SAT,0.0012,0.0011,0.0511,0.0977,25,115,True,
mysolver-pairwise,mysolver,pairwise,6,SAT,0.0012,0.0025,0.0540,0.1006,36,206,True,
mysolver-pairwise,mysolver,pairwise,7,SAT,0.0013,0.0011,0.0509,0.1007,49,336,True,
mysolver-pairwise,mysolver,pairwise,8,SAT,0.0014,0.0025,0.0522,0.0991,64,512,True,
mysolver-pairwise,mysolver,pairwise,9,SAT,0.0016,0.0025,0.0533,0.1003,81,741,True,
mysolver-pairwise,mysolver,pairwise,10,SAT,0.0017,0.0026,0.0567,0.1054,100,1030,True,
mysolver-pairwise,mysolver,pairwise,12,SAT,0.0022,0.0027,0.0560,0.1057,144,1816,True,
mysolver-pairwise,mysolver,pairwise,14,SAT,0.0028,0.0040,0.0626,0.1102,196,2926,True,
mysolver-pairwise,mysolver,pairwise,16,SAT,0.0036,0.0044,0.0660,0.1126,256,4416,True,
mysolver-pairwise,mysolver,pairwise,18,SAT,0.0047,0.0156,0.0760,0.1252,324,6342,True,
mysolver-pairwise,mysolver,pairwise,20,SAT,0.0058,0.0067,0.0699,0.1169,400,8760,True,
mysolver-pairwise,mysolver,pairwise,24,SAT,0.0102,0.0085,0.0818,0.1296,576,15296,True,
mysolver-pairwise,mysolver,pairwise,28,SAT,0.0150,0.0237,0.1068,0.1545,784,24472,True,
mysolver-pairwise,mysolver,pairwise,32,SAT,0.0212,0.0205,0.1084,0.1574,1024,36736,True,
mysolver-pairwise,mysolver,pairwise,40,SAT,0.0408,0.0234,0.1398,0.1884,1600,72320,True,
mysolver-pairwise,mysolver,pairwise,48,SAT,0.0676,0.0236,0.1826,0.2333,2304,125632,True,
mysolver-pairwise,mysolver,pairwise,56,SAT,0.1087,0.0287,0.2833,0.3380,3136,200256,True,
mysolver-pairwise,mysolver,pairwise,64,SAT,0.1731,0.0252,0.3746,0.4307,4096,299776,True,
mysolver-pairwise,mysolver,pairwise,80,SAT,0.3555,0.0541,0.7207,0.7849,6400,587840,True,
mysolver-pairwise,mysolver,pairwise,96,SAT,0.6438,0.0952,1.2207,1.2967,9216,1018496,True,
mysolver-pairwise,mysolver,pairwise,112,SAT,1.0468,0.0837,1.8763,1.9735,12544,1620416,True,
mysolver-pairwise,mysolver,pairwise,128,SAT,1.7067,0.0902,2.8836,3.0027,16384,2422272,True,
mysolver-pairwise,mysolver,pairwise,160,SAT,3.4993,0.1318,5.5961,5.7834,25600,4740480,True,
mysolver-pairwise,mysolver,pairwise,192,SAT,5.6805,0.0745,8.7228,8.9949,36864,8202496,True,
mysolver-pairwise,mysolver,pairwise,224,SKIP,,,0.0497,0.0497,,,,pairwise too big
mysolver-seq,mysolver,seq,4,SAT,0.0012,0.0024,0.0537,0.1013,42,76,True,
mysolver-seq,mysolver,seq,5,SAT,0.0012,0.0024,0.0481,0.0990,73,138,True,
mysolver-seq,mysolver,seq,6,SAT,0.0012,0.0025,0.0521,0.0990,112,218,True,
mysolver-seq,mysolver,seq,7,SAT,0.0013,0.0025,0.0542,0.1018,159,316,True,
mysolver-seq,mysolver,seq,8,SAT,0.0013,0.0025,0.0542,0.1009,214,432,True,
mysolver-seq,mysolver,seq,9,SAT,0.0015,0.0032,0.0544,0.1027,277,566,True,
mysolver-seq,mysolver,seq,10,SAT,0.0016,0.0038,0.0554,0.1018,348,718,True,
mysolver-seq,mysolver,seq,12,SAT,0.0019,0.0098,0.0631,0.1110,514,1076,True,
mysolver-seq,mysolver,seq,14,SAT,0.0020,0.0103,0.0624,0.1109,712,1506,True,
mysolver-seq,mysolver,seq,16,SAT,0.0023,0.0321,0.0945,0.1431,942,2008,True,
mysolver-seq,mysolver,seq,18,SAT,0.0028,0.0336,0.0949,0.1414,1204,2582,True,
mysolver-seq,mysolver,seq,20,SAT,0.0030,0.0129,0.0720,0.1179,1498,3228,True,
mysolver-seq,mysolver,seq,24,SAT,0.0038,0.0527,0.1274,0.1734,2182,4736,True,
mysolver-seq,mysolver,seq,28,SAT,0.0050,0.0247,0.0897,0.1421,2994,6532,True,
mysolver-seq,mysolver,seq,32,SAT,0.0060,0.0297,0.0934,0.1402,3934,8616,True,
mysolver-seq,mysolver,seq,40,SAT,0.0096,0.1516,0.2214,0.2677,6198,13648,True,
mysolver-seq,mysolver,seq,48,SAT,0.0130,0.2006,0.2823,0.3315,8974,19832,True,
mysolver-seq,mysolver,seq,56,SAT,0.0204,0.2027,0.2986,0.3519,12262,27168,True,
mysolver-seq,mysolver,seq,64,SAT,0.0239,0.4063,0.5080,0.5583,16062,35656,True,
mysolver-seq,mysolver,seq,80,SAT,0.0344,0.2460,0.3666,0.4186,25198,56088,True,
mysolver-seq,mysolver,seq,96,SAT,0.0482,27.3669,27.5261,27.5823,36382,81128,True,
mysolver-seq,mysolver,seq,112,SAT,0.0676,15.6313,15.8225,15.8889,49614,110776,True,
